Word,Label,POS Tags
['Because'],o,"[('[', 'NN'), (""'Because"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['Mix'],o,"[('[', 'JJ'), (""'Mix"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['plastic'],o,"[('[', 'RB'), (""'plastic"", 'JJ'), (""'"", ""''""), (']', 'NN')]"
['bitumen'],o,"[('[', 'JJ'), (""'bitumen"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
['k'],o,"[('[', 'NN'), (""'"", ""''""), ('k', 'NN'), (""'"", 'POS'), (']', 'NN')]"
['sath'],o,"[('[', 'JJ'), (""'sath"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['mix'],o,"[('[', 'JJ'), (""'mix"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['krdenge'],o,"[('[', 'JJ'), (""'krdenge"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['toh'],o,"[('[', 'JJ'), (""'toh"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['wo'],o,"[('[', 'JJ'), (""'wo"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bitumen'],o,"[('[', 'JJ'), (""'bitumen"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
['jaisi'],o,"[('[', 'JJ'), (""'jaisi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['property'],o,"[('[', 'JJ'), (""'property"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['deta'],o,"[('[', 'JJ'), (""'deta"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Ductile'],o,"[('[', 'RB'), (""'Ductile"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['material'],o,"[('[', 'JJ'), (""'material"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['cdo_naveen14'],o,"[('[', 'JJ'), (""'cdo_naveen14"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['mayureshthakurr'],per,"[('[', 'JJ'), (""'mayureshthakurr"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ji'],p,"[('[', 'JJ'), (""'ji"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['cement'],o,"[('[', 'JJ'), (""'cement"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['nhi'],o,"[('[', 'JJ'), (""'nhi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bhai'],o,"[('[', 'JJ'), (""'bhai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bitumen'],o,"[('[', 'JJ'), (""'bitumen"", 'NNS'), (""'"", 'POS'), (']', 'NN')]"
['Road'],o,"[('[', 'JJ'), (""'Road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nakshatra_101'],per,"[('[', 'JJ'), (""'nakshatra_101"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['But'],o,"[('[', 'RB'), (""'But"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['is'],o,"[('[', 'JJ'), (""'is"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['it'],o,"[('[', 'JJ'), (""'it"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['completely'],o,"[('[', 'RB'), (""'completely"", 'RB'), (""'"", 'POS'), (']', 'NN')]"
['safe'],o,"[('[', 'JJ'), (""'safe"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['like'],o,"[('[', 'RB'), (""'like"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['is'],o,"[('[', 'JJ'), (""'is"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['it'],o,"[('[', 'JJ'), (""'it"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['strong'],o,"[('[', 'RB'), (""'strong"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['enough'],o,"[('[', 'RB'), (""'enough"", 'IN'), (""'"", ""''""), (']', 'NN')]"
['ajay'],o,"[('[', 'JJ'), (""'ajay"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['chambial'],o,"[('[', 'JJ'), (""'chambial"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['But'],o,"[('[', 'RB'), (""'But"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['jab'],o,"[('[', 'JJ'), (""'jab"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ya'],o,"[('[', 'JJ'), (""'ya"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['road'],o,"[('[', 'JJ'), (""'road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['damage'],o,"[('[', 'JJ'), (""'damage"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['hoga'],o,"[('[', 'JJ'), (""'hoga"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['or'],o,"[('[', 'JJ'), (""'or"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['jo'],o,"[('[', 'JJ'), (""'jo"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['micro'],o,"[('[', 'JJ'), (""'micro"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['plastic'],o,"[('[', 'RB'), (""'plastic"", 'JJ'), (""'"", ""''""), (']', 'NN')]"
['niklyga'],o,"[('[', 'JJ'), (""'niklyga"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['road'],o,"[('[', 'JJ'), (""'road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['se'],o,"[('[', 'JJ'), (""'se"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['usse'],o,"[('[', 'JJ'), (""'usse"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['water'],o,"[('[', 'RB'), (""'water"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['pollution'],o,"[('[', 'JJ'), (""'pollution"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['to'],o,"[('[', 'JJ'), (""'to"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hoga'],o,"[('[', 'JJ'), (""'hoga"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Bas'],o,"[('[', 'JJ'), (""'Bas"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['plastic'],o,"[('[', 'RB'), (""'plastic"", 'JJ'), (""'"", ""''""), (']', 'NN')]"
['waste'],o,"[('[', 'JJ'), (""'waste"", 'NN'), (""'"", ""''""), (']', 'NN')]"
['ka'],o,"[('[', 'JJ'), (""'ka"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['use'],o,"[('[', 'NN'), (""'use"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['kar'],o,"[('[', 'JJ'), (""'kar"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['rhe'],o,"[('[', 'JJ'), (""'rhe"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ya'],o,"[('[', 'JJ'), (""'ya"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['solution'],o,"[('[', 'JJ'), (""'solution"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['to'],o,"[('[', 'JJ'), (""'to"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nehi'],o,"[('[', 'JJ'), (""'nehi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hi'],o,"[('[', 'JJ'), (""'hi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['naman_131105'],per,"[('[', 'JJ'), (""'naman_131105"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['mobroska'],p,"[('[', 'JJ'), (""'mobroska"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['not'],o,"[('[', 'RB'), (""'not"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['at'],o,"[('[', 'JJ'), (""'at"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['all'],o,"[('[', 'RB'), (""'all"", 'DT'), (""'"", ""''""), (']', 'NN')]"
['naman_131105'],per,"[('[', 'JJ'), (""'naman_131105"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nkx0'],o,"[('[', 'JJ'), (""'nkx0"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['_'],o,"[('[', 'NN'), (""'"", ""''""), ('_', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['jo'],o,"[('[', 'JJ'), (""'jo"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['first'],num,"[('[', 'RB'), (""'first"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['road'],o,"[('[', 'JJ'), (""'road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['bana'],o,"[('[', 'JJ'), (""'bana"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['jake'],o,"[('[', 'JJ'), (""'jake"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['uska'],o,"[('[', 'JJ'), (""'uska"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['condition'],o,"[('[', 'JJ'), (""'condition"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['dekh'],o,"[('[', 'JJ'), (""'dekh"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['le'],o,"[('[', 'JJ'), (""'le"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['banglore'],loc,"[('[', 'RB'), (""'banglore"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['mein'],o,"[('[', 'JJ'), (""'mein"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['normal'],o,"[('[', 'RB'), (""'normal"", 'JJ'), (""'"", 'POS'), (']', 'NN')]"
['road'],o,"[('[', 'JJ'), (""'road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['se'],o,"[('[', 'JJ'), (""'se"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['strong'],o,"[('[', 'RB'), (""'strong"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['naman_131105'],per,"[('[', 'JJ'), (""'naman_131105"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nkx0'],o,"[('[', 'JJ'), (""'nkx0"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['_'],p,"[('[', 'NN'), (""'"", ""''""), ('_', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bhai'],o,"[('[', 'JJ'), (""'bhai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['kon'],o,"[('[', 'JJ'), (""'kon"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['se'],o,"[('[', 'JJ'), (""'se"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['duniya'],o,"[('[', 'JJ'), (""'duniya"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['mein'],o,"[('[', 'JJ'), (""'mein"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['rehte'],o,"[('[', 'JJ'), (""'rehte"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ho'],o,"[('[', 'JJ'), (""'ho"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['india'],loc,"[('[', 'JJ'), (""'india"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['mein'],per,"[('[', 'JJ'), (""'mein"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['703km'],num,"[('[', 'JJ'), (""'703km"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['long'],o,"[('[', 'RB'), (""'long"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['plastic'],o,"[('[', 'RB'), (""'plastic"", 'JJ'), (""'"", ""''""), (']', 'NN')]"
['waste'],o,"[('[', 'JJ'), (""'waste"", 'NN'), (""'"", ""''""), (']', 'NN')]"
['road'],o,"[('[', 'JJ'), (""'road"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['ban'],o,"[('[', 'JJ'), (""'ban"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['chuka'],o,"[('[', 'JJ'), (""'chuka"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['aab'],o,"[('[', 'JJ'), (""'aab"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['location'],o,"[('[', 'JJ'), (""'location"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['khud'],o,"[('[', 'JJ'), (""'khud"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['google'],org,"[('[', 'JJ'), (""'google"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['kr'],o,"[('[', 'JJ'), (""'kr"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['le'],o,"[('[', 'JJ'), (""'le"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nkx0'],o,"[('[', 'JJ'), (""'nkx0"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['_'],o,"[('[', 'NN'), (""'"", ""''""), ('_', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['naman_131105'],per,"[('[', 'JJ'), (""'naman_131105"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['virat_pandey111'],per,"[('[', 'JJ'), (""'virat_pandey111"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Lucknow'],loc,"[('[', 'RB'), (""'Lucknow"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['me'],o,"[('[', 'JJ'), (""'me"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bhardwajramujee'],per,"[('[', 'JJ'), (""'bhardwajramujee"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['IND'],per,"[('[', 'JJ'), (""'IND"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['samiksha282009'],per,"[('[', 'JJ'), (""'samiksha282009"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Bharat'],loc,"[('[', 'JJ'), (""'Bharat"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['me'],o,"[('[', 'JJ'), (""'me"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['wo'],o,"[('[', 'JJ'), (""'wo"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['b'],o,"[('[', 'NN'), (""'"", ""''""), ('b', 'NN'), (""'"", 'POS'), (']', 'NN')]"
['up'],o,"[('[', 'JJ'), (""'up"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['lucknow'],loc,"[('[', 'RB'), (""'lucknow"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['mrcrazy_boy_786'],o,"[('[', 'JJ'), (""'mrcrazy_boy_786"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['य'],o,"[('[', 'NN'), (""'"", ""''""), ('य', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['प'],o,"[('[', 'NN'), (""'"", ""''""), ('प', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['लखनऊ'],loc,"[('[', 'JJ'), (""'लखनऊ"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ट'],o,"[('[', 'NN'), (""'"", ""''""), ('ट', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['म'],o,"[('[', 'NN'), (""'"", ""''""), ('म', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['न'],o,"[('[', 'NN'), (""'"", ""''""), ('न', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ट'],o,"[('[', 'NN'), (""'"", ""''""), ('ट', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['सर'],o,"[('[', 'JJ'), (""'सर"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ल'],o,"[('[', 'NN'), (""'"", ""''""), ('ल', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['व'],,"[('[', 'NN'), (""'"", ""''""), ('व', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['श'],o,"[('[', 'NN'), (""'"", ""''""), ('श', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['व'],o,"[('[', 'NN'), (""'"", ""''""), ('व', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['सबस'],o,"[('[', 'JJ'), (""'सबस"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['बड'],o,"[('[', 'JJ'), (""'बड"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ल'],o,"[('[', 'NN'), (""'"", ""''""), ('ल', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Biggest'],o,"[('[', 'RB'), (""'Biggest"", 'JJS'), (""'"", 'POS'), (']', 'NN')]"
['School'],o,"[('[', 'JJ'), (""'School"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ह'],o,"[('[', 'NN'), (""'"", ""''""), ('ह', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['यह'],o,"[('[', 'JJ'), (""'यह"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ल'],o,"[('[', 'NN'), (""'"", ""''""), ('ल', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['जगद'],o,"[('[', 'JJ'), (""'जगद"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['श'],o,"[('[', 'NN'), (""'"", ""''""), ('श', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ग'],o,"[('[', 'NN'), (""'"", ""''""), ('ग', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ध'],o,"[('[', 'NN'), (""'"", ""''""), ('ध', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['द'],o,"[('[', 'NN'), (""'"", ""''""), ('द', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['व'],o,"[('[', 'NN'), (""'"", ""''""), ('व', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['र'],o,"[('[', 'NN'), (""'"", ""''""), ('र', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['1959'],num,"[('[', 'JJ'), (""'1959"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['म'],o,"[('[', 'NN'), (""'"", ""''""), ('म', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['र'],o,"[('[', 'NN'), (""'"", ""''""), ('र', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['फ'],o,"[('[', 'NN'), (""'"", ""''""), ('फ', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['प'],o,"[('[', 'NN'), (""'"", ""''""), ('प', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['च'],o,"[('[', 'NN'), (""'"", ""''""), ('च', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['व'],o,"[('[', 'NN'), (""'"", ""''""), ('व', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['द'],o,"[('[', 'NN'), (""'"", ""''""), ('द', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['य'],o,"[('[', 'NN'), (""'"", ""''""), ('य', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['र'],o,"[('[', 'NN'), (""'"", ""''""), ('र', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['थ'],o,"[('[', 'NN'), (""'"", ""''""), ('थ', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['य'],o,"[('[', 'NN'), (""'"", ""''""), ('य', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['थ'],o,"[('[', 'NN'), (""'"", ""''""), ('थ', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['थ'],o,"[('[', 'NN'), (""'"", ""''""), ('थ', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['प'],o,"[('[', 'NN'), (""'"", ""''""), ('प', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['त'],o,"[('[', 'NN'), (""'"", ""''""), ('त', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['य'],o,"[('[', 'NN'), (""'"", ""''""), ('य', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['गय'],o,"[('[', 'JJ'), (""'गय"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['इस'],o,"[('[', 'JJ'), (""'इस"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['स'],o,"[('[', 'NN'), (""'"", ""''""), ('स', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['क'],o,"[('[', 'NN'), (""'"", ""''""), ('क', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ल'],o,"[('[', 'NN'), (""'"", ""''""), ('ल', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['म'],o,"[('[', 'NN'), (""'"", ""''""), ('म', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['अब'],o,"[('[', 'JJ'), (""'अब"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['58'],num,"[('[', 'JJ'), (""'58"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['000'],num,"[('[', 'JJ'), (""'000"", 'CD'), (""'"", 'POS'), (']', 'NN')]"
['छ'],o,"[('[', 'NN'), (""'"", ""''""), ('छ', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['त'],o,"[('[', 'NN'), (""'"", ""''""), ('त', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['र'],o,"[('[', 'NN'), (""'"", ""''""), ('र', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ह'],o,"[('[', 'NN'), (""'"", ""''""), ('ह', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nitika_mishra1854'],per,"[('[', 'JJ'), (""'nitika_mishra1854"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['India'],loc,"[('[', 'JJ'), (""'India"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['m'],o,"[('[', 'JJ'), (""'m"", 'VBP'), (""'"", 'POS'), (']', 'NN')]"
['rajat_gupta_fitness'],per,"[('[', 'JJ'), (""'rajat_gupta_fitness"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Up'],loc,"[('[', 'JJ'), (""'Up"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['lucknow'],loc,"[('[', 'RB'), (""'lucknow"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['singhhanu13'],per,"[('[', 'JJ'), (""'singhhanu13"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['India'],loc,"[('[', 'JJ'), (""'India"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Lucknow'],loc,"[('[', 'RB'), (""'Lucknow"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['CMS'],o,"[('[', 'JJ'), (""'CMS"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['school'],o,"[('[', 'JJ'), (""'school"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['akash70906'],per,"[('[', 'JJ'), (""'akash70906"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Bharat'],per,"[('[', 'JJ'), (""'Bharat"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['ma'],o,"[('[', 'JJ'), (""'ma"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['yatin__singh_2007'],per,"[('[', 'JJ'), (""'yatin__singh_2007"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['Bharat'],loc,"[('[', 'JJ'), (""'Bharat"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
